rep,c,theta,se,cover,term_a,term_c,term_b,rmse_l,rmse_m,prod_stat
0,1,0.45599286164415875,0.04181036400888902,1,-0.03436899614676156,-0.01375152398754512,0.004113381778465563,0.15443528436065,0.09892814563397985,0.7926177582868797
0,3,0.4796637507161322,0.042244053343659195,1,-0.033393162787245724,-0.02631476662287165,0.039371680126249545,0.3201263921367026,0.18206405052305769,2.8912965890457243
0,10,0.7379024248732644,0.04788936352975337,0,-0.02404595222510245,-0.04383604274802227,0.3057844198463891,0.9765323905523918,0.5201785698770985,24.62013303645625
0,30,1.353074425785058,0.0762745541504981,0,-0.021169863280362203,-0.08457469911875572,0.9588189881841761,2.0434483492378255,0.6215497665759951,52.38088285774844
0,100,1.373034915202342,0.07658113310680383,0,-0.021169863280362203,-0.08576351062282535,0.9799682891055292,2.074384896079997,0.6215497665759951,52.988944689592614
1,1,0.5844625734536714,0.04268070772041527,0,0.07895546769762272,-0.0016551796627965662,0.007162285418845328,0.15100784728635694,0.09185509481756889,0.7054471799115206
1,3,0.5991682573046476,0.04287845667706671,0,0.075316442742287,-0.010263814185193065,0.03411562874755361,0.24622047996718413,0.18787455407392598,2.5790085410095442
1,10,0.7173728695599711,0.04217012204180899,0,0.05256946416128266,-0.014875493939780667,0.17967889933846903,0.7158123865360561,0.543682345042896,21.654172176568345
1,30,1.292899409249169,0.06732424273151724,0,0.047246152019237896,-0.010951838515595665,0.7566050957455268,1.8198727606551877,0.6238622264710177,48.21062897723224
1,100,1.3851794095424461,0.06906662999676537,0,0.047246152019237896,-0.012089079491301094,0.8500223370145096,1.9516812287415781,0.6238622264710177,50.81098015460896
2,1,0.486353696694943,0.040647949019875555,1,0.007336672147745754,-0.017574551504069644,-0.0034084239487330776,0.18403067783476235,0.0957488940546477,0.8471294258856265
2,3,0.5172998467536883,0.04016226730504392,1,0.007090231256789803,-0.002590021216218378,0.012799636713116984,0.261217265130043,0.17016077878648983,2.3212264004774767
2,10,0.6973472813209649,0.041976573182284635,0,0.005402169411456219,0.005386545076483138,0.18655856683302569,0.7442048568917351,0.45932236062613574,17.481291083044184
2,30,1.2513688515072696,0.07410157464623933,0,0.00456854479271527,-0.033526088830150645,0.7803263955447048,1.7901944864726094,0.5894605236639553,44.3576699820839
2,100,1.4329085846967933,0.08055085065153055,0,0.00456854479271527,-0.03451629064327031,0.9628563305473484,2.025676953865926,0.5894605236639553,48.74715229389183
3,1,0.6204186458921287,0.0426058779358489,0,0.10654170380371682,0.013058629551724972,0.0008183125366868711,0.12315592440771671,0.09957187900054457,0.7013117845522648
3,3,0.6504715177814158,0.042594698397052655,0,0.10142634465821895,0.007822478304259134,0.041222694818937734,0.29551142059229973,0.19938617889470683,3.120400923321298
3,10,0.8749221290570712,0.05000373142254398,0,0.07483123843619725,0.009906473850433839,0.29018441677044016,0.9846306925913973,0.5177882959221634,24.60046369812178
3,30,1.3632859113548754,0.06969099352594377,0,0.06853724850806912,-0.02178424655605437,0.816532909402861,1.8608560597939798,0.5878457616051816,45.519689977752925
3,100,1.3632859113548754,0.06969099352594377,0,0.06853724850806912,-0.02178424655605437,0.816532909402861,1.8608560597939798,0.5878457616051816,45.519689977752925
4,1,0.37686818451076187,0.04102878342514468,0,-0.11711750848291119,-0.008493020017845484,0.002478713011518541,0.13231172107389708,0.0845044550307714,0.5793903879586967
4,3,0.4230899958939029,0.04091552599224718,1,-0.11122969736793292,0.006094658662463087,0.02822503459937269,0.24547868202259124,0.1909159519674831,2.6346420502897967
4,10,0.6718211792472184,0.04764256877884791,0,-0.07558930662448471,0.02490934954272208,0.2225011363289811,0.8152698119475803,0.5621939628768724,24.488735699655827
4,30,1.2717087198976853,0.08053657759182989,0,-0.06927925034529953,0.019813178053636003,0.8211747921893485,1.8437181729278869,0.6271991285794739,49.007625036153314
4,100,1.3477205070120737,0.08258987091449475,0,-0.06927925034529953,0.01777366115068438,0.8992260962066888,1.9630869876512773,0.6271991285794739,51.37515959888645
5,1,0.4895592434677267,0.04265619703570561,1,-0.016138616374979424,0.0028210306942087226,0.002876829148497469,0.13244578739906773,0.05541081706936527,0.3291705872822753
5,3,0.5328515984031686,0.04231520478503844,1,-0.015371366123172123,0.007050454267665864,0.04117251025867489,0.2994780365862514,0.17362542065540917,2.5975829956923486
5,10,0.7445071141817854,0.04539504945395785,0,-0.010759314601401032,0.0008609516517532656,0.2544054771314331,0.9418128535283705,0.5364285584316264,25.07594192691512
5,30,1.2398691786247804,0.060601935491722395,0,-0.01001905486629671,-0.0025149231884826094,0.7524031566795596,1.8070009892177952,0.5957439559961585,45.26549951452764
5,100,1.2581090434283053,0.06090152536821685,0,-0.01001905486629671,-0.001403565765168046,0.7695316640597704,1.8297722409175188,0.5957439559961585,45.694488902191196
6,1,0.4195923601543726,0.0445276925507058,1,-0.0783567453248348,0.009311863006705404,-0.011362757527497939,0.07315937578963075,0.10899368002335139,0.6278238034132244
6,3,0.46574286915011254,0.04602897186233478,1,-0.07726526086515088,0.03038015192884595,0.012627978086417444,0.2609282343299717,0.06723242090615515,0.6976944363734391
6,10,0.7687904361154707,0.05721158092009524,0,-0.06848644656551023,0.09915402222253668,0.23812286045844416,1.00888081406618,0.2539220801534115,10.139955189985232
6,30,1.4135024227165929,0.06852140441165917,0,-0.045795895405418265,0.11827380390921484,0.8410245142127967,1.9852792419348966,0.6090573012696474,49.96713708894402
6,100,1.4142932500060692,0.06774565886947873,0,-0.04468577659222042,0.11616226097786664,0.8428167656204227,1.9852792419348966,0.6294758682205198,52.048726267176754
7,1,0.5551757862996031,0.042424001438776594,1,0.0402860832866776,0.011329658882672651,0.003560044130252831,0.1374695705591846,0.10217657205505698,0.774322307840505
7,3,0.5977421425436035,0.04214247554212705,0,0.03818023168772956,0.01125966001291613,0.04830225084295781,0.32714390897503287,0.2156021193707926,3.700408584147209
7,10,0.858336108548214,0.04438057944893648,0,0.02597333577795098,0.011311503619814797,0.3210512691504483,1.0243529594815624,0.5875844443139865,29.95149210356517
7,30,1.3971181143142684,0.06780243510028704,0,0.02523135454835622,0.0021582661649660164,0.8697284936009458,1.8893271867556334,0.6111110238548916,48.32103689752304
7,100,1.3971181143142684,0.06780243510028704,0,0.02523135454835622,0.0021582661649660164,0.8697284936009458,1.8893271867556334,0.6111110238548916,48.32103689752304
8,1,0.49241554909912943,0.04117784003379785,1,-0.00840721616762138,0.0026944920871771506,-0.001871726820426431,0.13656847186113172,0.04869911733987109,0.28531232976215826
8,3,0.5175126015842642,0.040226906548596154,1,-0.007904470281809487,0.024519001134204785,0.0008980707318688138,0.1694813486606077,0.17276767529136414,1.869841126973403
8,10,0.676395396509439,0.03701600062065019,0,-0.005008628990152931,0.05391174036177028,0.1274922851378218,0.7059787736587705,0.5869719753965988,23.999342778240806
8,30,1.2782220285623056,0.06041479633011546,0,-0.00479171693810753,0.10341817306786046,0.679595572432553,1.8149964410987953,0.6220057429237315,47.93473302717433
8,100,1.3346745914922553,0.06157668262513858,0,-0.00479171693810753,0.10743010059969116,0.7320362078306719,1.8891345772128905,0.6220057429237315,49.392996702546
9,1,0.539247647232032,0.041974572675300074,1,0.026845922222452988,0.014844978930572884,-0.0024432539209940022,0.14631945165594237,0.07404848141018339,0.5160176476779931
9,3,0.5657783060390311,0.040941344104180925,1,0.025444406542973735,0.024422150934072153,0.01591174856198547,0.20708551531327965,0.18004880664629827,2.2042046958309918
9,10,0.7243476202354787,0.038732454367052326,0,0.01729480284273983,0.04457607877790107,0.16247673861483772,0.713012858179565,0.5510951048838898,22.029808427762198
9,30,1.3286264001435641,0.05953458328107719,0,0.015905114654733248,0.07357724241943929,0.7391440430693915,1.7682592894151086,0.6164564244142854,46.48780025576731
9,100,1.4381943309166747,0.06189282575154959,0,0.015905114654733248,0.07572501613561,0.8465642001263313,1.9184549966946962,0.6164564244142854,49.41572495504939
10,1,0.5874510013669711,0.043198846812435375,0,0.07393934984220205,0.006399880219712958,0.007111771305056318,0.19886400467776133,0.0475192294137051,0.37023761613202544
10,3,0.6366547154097093,0.043860801461960294,0,0.06952286004856686,0.0051514069134414,0.061980448447701085,0.363900020804746,0.15239515452945462,2.488107986813464
10,10,0.8754073245687708,0.04972623061549917,0,0.04647657647670763,0.003358591743260143,0.32557215634880304,1.06493544606616,0.5172461575811566,25.879364275640214
10,30,1.356148461587406,0.06764491474890526,0,0.04296026134514482,0.03884303911241822,0.774345161129843,1.881982656781326,0.5773931837443198,44.905191737949856
10,100,1.356148461587406,0.06764491474890526,0,0.04296026134514482,0.03884303911241822,0.774345161129843,1.881982656781326,0.5773931837443198,44.905191737949856
11,1,0.42987516392552116,0.040073364215898626,1,-0.0777257463691085,0.002174053419942012,0.005426856874687748,0.1611012021676698,0.0924680680789733,0.741461157545973
11,3,0.45630507497440315,0.04000246461828991,1,-0.07559206277465239,-0.0062878771083555995,0.03818501485741112,0.2837724234225909,0.16312501172396793,2.305305137051499
11,10,0.6609440065896555,0.04554465257374261,0,-0.05644467666654999,-0.025604807747922682,0.24299349100412815,0.8459602644214198,0.4852143131737964,20.42530820484275
11,30,1.1945841166321454,0.0755724646919151,0,-0.05040511829457578,-0.05058539478833572,0.795574629715057,1.8856470025719274,0.5830349165341796,45.51554010531854
11,100,1.1945841166321454,0.0755724646919151,0,-0.05040511829457578,-0.05058539478833572,0.795574629715057,1.8856470025719274,0.5830349165341796,45.51554010531854
12,1,0.4782232218993457,0.04043399034782853,1,-0.022226253802303007,0.0008499429322941338,-0.00040046723064549657,0.12103996785877362,0.08242100712101391,0.5302968388539478
12,3,0.508232469303111,0.039392959068819615,1,-0.02106386068837329,0.007491013717889115,0.021805316273595245,0.2004542076019476,0.19633339096882443,2.463498246944841
12,10,0.6735858564748046,0.03829366730477097,0,-0.014209528211794215,0.004456803452000004,0.1833385812345988,0.7059957281238837,0.570889602833252,23.05175692304357
12,30,1.2929682712516717,0.066582683791419,0,-0.013375959869538188,-0.014650823617160134,0.82099505473837,1.893893390463773,0.6167620104960093,48.967138220119764
12,100,1.38898966964503,0.06851516739067014,0,-0.013375959869538188,-0.014490090140859052,0.9168557196554271,2.0288551423230086,0.6167620104960093,51.59939542084684
13,1,0.4785583728673201,0.043677920355436606,1,-0.022879736373591253,-0.0040046778542301925,0.005442787095141599,0.1961878020462298,0.11242231307816782,1.0971415767379857
13,3,0.5052195461209333,0.0432278552441823,1,-0.021832301292981828,-0.0029744355892092774,0.030026283003124262,0.2704393287081,0.2226511907110298,3.4717758234785636
13,10,0.641564721342349,0.04107981882653957,0,-0.015696651144436007,-0.011496491295844178,0.16875786378262922,0.7455716464018429,0.5452053283130175,22.254164874340212
13,30,1.1552782562617456,0.05705622238125922,0,-0.014222177353416741,-0.034058385939306914,0.7035588195544693,1.6865685615407706,0.6146790579304976,44.731325671322644
