mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expA,IRM,forest,16,0,7817.007393349077,1129.0928068319781,0.0,0.0
expA,PLR,forest,17,0,8092.600491119232,1338.4753747102302,0.0,0.0
expA,IRM,forest,17,0,7554.821904752907,1178.9815078424604,0.0,0.0
expA,PLR,forest,18,0,8813.979691867413,1313.834584745253,0.0,0.0
expA,IRM,forest,18,0,7701.219997184705,1139.9459613261376,0.0,0.0
expA,PLR,forest,19,0,8655.09155228723,1330.3139820016427,0.0,0.0
expA,IRM,forest,19,0,7837.752975281552,1163.048016567063,0.0,0.0
expA,PLR,forest,20,0,8535.479106048626,1339.6819362055307,0.0,0.0
expA,IRM,forest,20,0,7697.807948653661,1163.7962011769275,0.0,0.0
expA,PLR,forest,21,0,8656.383314022536,1334.688739257581,0.0,0.0
expA,IRM,forest,21,0,7744.089487351541,1171.6313397929819,0.0,0.0
expA,PLR,forest,22,0,8603.410270968554,1313.1680071308704,0.0,0.0
expA,IRM,forest,22,0,7687.024066168538,1138.9098922814687,0.0,0.0
expA,PLR,forest,23,0,8532.56699736819,1329.6909575348482,0.0,0.0
expA,IRM,forest,23,0,7686.401199133686,1189.284413310088,0.0,0.0
expA,PLR,forest,24,0,8983.602260966652,1319.152681396277,0.0,0.0
expA,IRM,forest,24,0,8057.98978820286,1148.5069731721483,0.0,0.0
expA,PLR,forest,25,0,9075.729701691755,1303.99262192889,0.0,0.0
expA,IRM,forest,25,0,7942.622906933219,1160.3222029076653,0.0,0.0
expA,PLR,forest,26,0,8490.82067766716,1322.2596487725664,0.0,0.0
expA,IRM,forest,26,0,7804.974562715931,1157.5001785562367,0.0,0.0
expA,PLR,forest,27,0,8209.186869037938,1321.4871734869712,0.0,0.0
expA,IRM,forest,27,0,7507.536732627096,1176.7887570235284,0.0,0.0
expA,PLR,forest,28,0,8680.963212185596,1329.2642818285688,0.0,0.0
expA,IRM,forest,28,0,7941.44919092152,1151.6605974099493,0.0,0.0
expA,PLR,forest,29,0,8669.560965617206,1354.5537430934576,0.0,0.0
expA,IRM,forest,29,0,7814.126705346745,1189.1564623440115,0.0,0.0
expA,PLR,forest,30,0,8789.522781452875,1350.0080380127265,0.0,0.0
expA,IRM,forest,30,0,7755.827073720481,1171.6798935012127,0.0,0.0
expA,PLR,forest,31,0,8633.996123676687,1309.1530688655782,0.0,0.0
expA,IRM,forest,31,0,7895.544834964264,1144.3605042287297,0.0,0.0
expA,PLR,forest,32,0,8431.805240343205,1330.0874926182423,0.0,0.0
expA,IRM,forest,32,0,7890.795999653604,1162.1385402576207,0.0,0.0
expA,PLR,forest,33,0,8776.5187662145,1330.7971469804281,0.0,0.0
expA,IRM,forest,33,0,8032.680602824897,1147.8903638050035,0.0,0.0
expA,PLR,forest,34,0,8932.40063503593,1324.732858817765,0.0,0.0
expA,IRM,forest,34,0,7913.050400215906,1149.2277406862368,0.0,0.0
expA,PLR,forest,35,0,8626.250183665567,1339.240327564332,0.0,0.0
expA,IRM,forest,35,0,7836.406998620884,1149.967245261358,0.0,0.0
expA,PLR,forest,36,0,8633.887209323935,1341.278359308934,0.0,0.0
expA,IRM,forest,36,0,7817.527198017807,1171.081038284011,0.0,0.0
expA,PLR,forest,37,0,8614.363412709055,1307.0767224603414,0.0,0.0
expA,IRM,forest,37,0,7913.155356748705,1142.2726254954746,0.0,0.0
expA,PLR,forest,38,0,8605.765261956623,1295.6885830732488,0.0,0.0
expA,IRM,forest,38,0,7771.361677957315,1149.3807705613099,0.0,0.0
expA,PLR,forest,39,0,8625.812446132531,1296.8838228214456,0.0,0.0
expA,IRM,forest,39,0,7906.426740024669,1149.679111627223,0.0,0.0
expA,PLR,forest,40,0,8949.902093109102,1324.9916245594743,0.0,0.0
expA,IRM,forest,40,0,7866.135844519924,1151.0627069211325,0.0,0.0
expA,PLR,forest,41,0,8469.846749033943,1325.2446746971793,0.0,0.0
expA,IRM,forest,41,0,7672.5099349258435,1158.3121380658604,0.0,0.0
expA,PLR,forest,42,0,8572.432146829366,1349.8493927236686,0.0,0.0
expA,IRM,forest,42,0,7782.329191946806,1183.6388482839518,0.0,0.0
expA,PLR,forest,43,0,8464.007132998635,1355.1813838242406,0.0,0.0
expA,IRM,forest,43,0,7776.266653056332,1160.68174977746,0.0,0.0
expA,PLR,forest,44,0,8800.03992696495,1337.481903045062,0.0,0.0
expA,IRM,forest,44,0,7741.269349609738,1155.592217822304,0.0,0.0
expA,PLR,forest,45,0,8677.794094817811,1345.1719330028718,0.0,0.0
expA,IRM,forest,45,0,7679.591028112586,1166.380171702379,0.0,0.0
expA,PLR,forest,46,0,8476.15979728008,1314.5424592598958,0.0,0.0
expA,IRM,forest,46,0,7760.649246249237,1149.1383492045118,0.0,0.0
expA,PLR,forest,47,0,8743.213961838548,1306.1832979748542,0.0,0.0
expA,IRM,forest,47,0,7887.399027671558,1131.1535834139713,0.0,0.0
expA,PLR,forest,48,0,8696.508675055144,1329.0623324450016,0.0,0.0
expA,IRM,forest,48,0,7651.765884643941,1174.0285198868346,0.0,0.0
expA,PLR,forest,49,0,8658.679676735655,1350.092210101643,0.0,0.0
expA,IRM,forest,49,0,7978.503521324633,1160.8952290185096,0.0,0.0
expA,PLR,forest,50,0,8517.148855224785,1321.6365493695298,0.0,0.0
expA,IRM,forest,50,0,7759.449550653252,1151.9726045213788,0.0,0.0
expA,PLR,forest,51,0,9075.451952405883,1336.717417440118,0.0,0.0
expA,IRM,forest,51,0,8097.926879135948,1169.211952585457,0.0,0.0
expA,PLR,forest,52,0,8318.416071418778,1306.4348271605088,0.0,0.0
expA,IRM,forest,52,0,7765.784915114277,1133.8698363306403,0.0,0.0
expA,PLR,forest,53,0,8386.58832972736,1319.945799385411,0.0,0.0
expA,IRM,forest,53,0,7779.657551570463,1149.3108691131415,0.0,0.0
expA,PLR,forest,54,0,8525.434465062908,1347.0523199135444,0.0,0.0
expA,IRM,forest,54,0,7706.653841212144,1164.1836347390747,0.0,0.0
expA,PLR,forest,55,0,8434.000012774055,1325.5498636387,0.0,0.0
expA,IRM,forest,55,0,7621.761453219157,1169.5719783742454,0.0,0.0
expA,PLR,forest,56,0,8555.57168688459,1332.881734035523,0.0,0.0
expA,IRM,forest,56,0,7632.916424589548,1168.7393029004286,0.0,0.0
