mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
crossed,PLR,forest,1,4,8822.094592268908,1345.189604652915,0.0,0.0
crossed,IRM,forest,1,4,7837.97517194446,1170.7215345721654,0.0,0.0
crossed,PLR,forest,1,5,8860.497109316739,1348.1186856056734,0.0,0.0
crossed,IRM,forest,1,5,7847.72829263091,1176.0100854300188,0.0,0.0
crossed,PLR,forest,1,6,8817.930559881277,1346.9170820053398,0.0,0.0
crossed,IRM,forest,1,6,7856.843567386626,1170.7567787208006,0.0,0.0
crossed,PLR,forest,1,7,8817.524022297766,1339.7701296598977,0.0,0.0
crossed,IRM,forest,1,7,7910.759131223014,1169.7070607106382,0.0,0.0
crossed,PLR,forest,1,8,8783.084735638204,1342.1883930324052,0.0,0.0
crossed,IRM,forest,1,8,7824.45547095432,1165.7529352101396,0.0,0.0
crossed,PLR,forest,1,9,8755.589202850564,1351.268395728644,0.0,0.0
crossed,IRM,forest,1,9,7755.590121047796,1164.2474220422991,0.0,0.0
crossed,PLR,forest,2,0,8477.867296018543,1332.3070169894938,0.0,0.0
crossed,IRM,forest,2,0,7782.766852847305,1177.1618005178289,0.0,0.0
crossed,PLR,forest,2,1,8516.668553876038,1327.1007932631978,0.0,0.0
crossed,IRM,forest,2,1,7787.315115766368,1169.850745305075,0.0,0.0
crossed,PLR,forest,2,2,8507.892394379254,1336.2153121313083,0.0,0.0
crossed,IRM,forest,2,2,7780.588191666936,1181.8511511029776,0.0,0.0
crossed,PLR,forest,2,3,8605.196897358568,1337.4912166997328,0.0,0.0
crossed,IRM,forest,2,3,7725.69041738569,1174.4009456933309,0.0,0.0
crossed,PLR,forest,2,4,8492.761110167336,1337.2253221703268,0.0,0.0
crossed,IRM,forest,2,4,7780.209663922893,1180.1606257693868,0.0,0.0
crossed,PLR,forest,2,5,8500.619907802256,1341.4636815857,0.0,0.0
crossed,IRM,forest,2,5,7751.376117824142,1181.0599543687192,0.0,0.0
crossed,PLR,forest,2,6,8523.859140669767,1333.8124464246448,0.0,0.0
crossed,IRM,forest,2,6,7745.680822899171,1173.4726195534306,0.0,0.0
crossed,PLR,forest,2,7,8604.511298093223,1337.5082190942098,0.0,0.0
crossed,IRM,forest,2,7,7778.671230690562,1167.205403778004,0.0,0.0
crossed,PLR,forest,2,8,8569.98668903571,1331.4615967985465,0.0,0.0
crossed,IRM,forest,2,8,7780.68571852518,1184.402837146592,0.0,0.0
crossed,PLR,forest,2,9,8526.014491431324,1340.830332300862,0.0,0.0
crossed,IRM,forest,2,9,7748.168207115166,1190.9982248118552,0.0,0.0
crossed,PLR,forest,3,0,8400.485417965014,1342.1183714383224,0.0,0.0
crossed,IRM,forest,3,0,7824.781348584408,1152.7040248584674,0.0,0.0
crossed,PLR,forest,3,1,8449.284321697203,1337.7988680265278,0.0,0.0
crossed,IRM,forest,3,1,7712.937421888976,1148.5691396072384,0.0,0.0
crossed,PLR,forest,3,2,8498.865630549664,1344.1231176802407,0.0,0.0
crossed,IRM,forest,3,2,7738.247336951466,1140.4487212801112,0.0,0.0
crossed,PLR,forest,3,3,8402.06735861406,1340.5567987402653,0.0,0.0
crossed,IRM,forest,3,3,7761.520079039343,1149.8955424695116,0.0,0.0
crossed,PLR,forest,3,4,8450.651460648622,1345.9665469440506,0.0,0.0
crossed,IRM,forest,3,4,7711.901841532188,1146.2104199553016,0.0,0.0
