mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expB,IRM,forest,0,27,7766.784826659065,1206.537278690199,0.0,0.0
expB,PLR,forest,0,28,8715.506663312231,1365.4505935793206,0.0,0.0
expB,IRM,forest,0,28,7792.517613106386,1188.8301860365023,0.0,0.0
expB,PLR,forest,0,29,8780.894282142966,1371.8951060029915,0.0,0.0
expB,IRM,forest,0,29,7761.944110313255,1197.4663709926328,0.0,0.0
expB,PLR,forest,0,30,8732.336128096813,1374.0225968820862,0.0,0.0
expB,IRM,forest,0,30,7767.427782763613,1183.2661719463142,0.0,0.0
expB,PLR,forest,0,31,8771.999749375093,1387.1509360337561,0.0,0.0
expB,IRM,forest,0,31,7777.937063416489,1200.053186314203,0.0,0.0
expB,PLR,forest,0,32,8800.025108968566,1368.1054909560842,0.0,0.0
expB,IRM,forest,0,32,7803.688016294411,1191.0039370232535,0.0,0.0
expB,PLR,forest,0,33,8808.930057673188,1369.9849843267468,0.0,0.0
expB,IRM,forest,0,33,7821.86840273367,1193.5695278100427,0.0,0.0
expB,PLR,forest,0,34,8758.87435462573,1381.3222005507344,0.0,0.0
expB,IRM,forest,0,34,7810.538893484599,1179.8895658920856,0.0,0.0
expB,PLR,forest,0,35,8783.580935411059,1366.9393384986115,0.0,0.0
expB,IRM,forest,0,35,7771.5242332570915,1201.1417258342992,0.0,0.0
expB,PLR,forest,0,36,8822.855317919444,1370.9759077188185,0.0,0.0
expB,IRM,forest,0,36,7837.963977810351,1206.6316415140639,0.0,0.0
expB,PLR,forest,0,37,8813.160255816667,1384.3969472888148,0.0,0.0
expB,IRM,forest,0,37,7857.390610984227,1180.1626288395514,0.0,0.0
expB,PLR,forest,0,38,8790.581500353652,1368.4911548000205,0.0,0.0
expB,IRM,forest,0,38,7770.542176729678,1195.5164960605273,0.0,0.0
expB,PLR,forest,0,39,8742.2494553342,1367.7697596490607,0.0,0.0
expB,IRM,forest,0,39,7755.580314005001,1195.9737415682744,0.0,0.0
expB,PLR,forest,0,40,8735.531379533564,1366.780633290243,0.0,0.0
expB,IRM,forest,0,40,7780.619420911649,1190.2449903653273,0.0,0.0
expB,PLR,forest,0,41,8725.541382727677,1363.5665799325561,0.0,0.0
expB,IRM,forest,0,41,7761.690400961737,1189.8632790154236,0.0,0.0
expB,PLR,forest,0,42,8759.363152284937,1358.983668619009,0.0,0.0
expB,IRM,forest,0,42,7728.932915507061,1205.7608990536544,0.0,0.0
expB,PLR,forest,0,43,8868.67943147154,1366.6036989391594,0.0,0.0
expB,IRM,forest,0,43,7773.539292529493,1198.9675938964044,0.0,0.0
expB,PLR,forest,0,44,8699.731429851217,1362.4934827177647,0.0,0.0
expB,IRM,forest,0,44,7709.006824789156,1196.7209754950409,0.0,0.0
expB,PLR,forest,0,45,8739.932992955917,1370.736875867318,0.0,0.0
expB,IRM,forest,0,45,7745.547083644546,1195.8550137901218,0.0,0.0
expB,PLR,forest,0,46,8718.303319775112,1378.2944377148808,0.0,0.0
expB,IRM,forest,0,46,7775.104404810562,1197.7940668785607,0.0,0.0
expB,PLR,forest,0,47,8741.080225152247,1354.7009107550302,0.0,0.0
expB,IRM,forest,0,47,7778.791019210025,1192.4320900663406,0.0,0.0
expB,PLR,forest,0,48,8739.23529760288,1367.9562258893186,0.0,0.0
expB,IRM,forest,0,48,7792.478676997292,1197.1439649466024,0.0,0.0
expB,PLR,forest,0,49,8774.014110620554,1371.8976846393648,0.0,0.0
expB,IRM,forest,0,49,7664.063706170758,1199.4567669900339,0.0,0.0
expB,PLR,forest,0,50,8828.745131354204,1370.433760032005,0.0,0.0
expB,IRM,forest,0,50,7805.570324020413,1187.4439736657835,0.0,0.0
expB,PLR,forest,0,51,8732.728816438257,1375.1325055656757,0.0,0.0
expB,IRM,forest,0,51,7746.508763564457,1198.0171835365616,0.0,0.0
